URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst-manager/52141662?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Data analyst manager,"£40,000 - £50,000 per annum",Permanent,full-time,Bournemouth
https://www.reed.co.uk/jobs/technical-data-analyst/52080469?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Technical Data Analyst,Competitive salary,Permanent,full-time,Boston
https://www.reed.co.uk/jobs/senior-data-analyst/52252970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Senior Data Analyst,Competitive salary,Permanent,full-time,Newcastle Upon Tyne
https://www.reed.co.uk/jobs/data-analyst-claims/52131255?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,"Data Analyst, Claims","£55,000 - £75,000 per annum, OTE, inc benefits",Permanent,full-time,City of London
https://www.reed.co.uk/jobs/commercial-and-data-analyst/52036935?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D3,Commercial and Data Analyst,"£45,000 - £60,000 per annum",Permanent,full-time,Farnham
https://www.reed.co.uk/jobs/lead-data-analyst/52072522?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Lead Data Analyst,"£50,000 - £60,000 per annum",Permanent,full-time,Bristol
https://www.reed.co.uk/jobs/senior-data-analyst/52215000?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£40,000 - £42,000 per annum",Permanent,full-time,Brighton
https://www.reed.co.uk/jobs/senior-data-analyst/52198975?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£41,000 - £41,383 per annum",Permanent,full-time,Brighton
https://www.reed.co.uk/jobs/senior-data-analyst/52020282?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£45,000 - £60,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/senior-data-analyst/52119161?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/senior-data-analyst/51543854?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£60,000 - £70,000 per annum",Permanent,full-time,Milton Keynes
https://www.reed.co.uk/jobs/senior-data-analyst/52151539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst-insurance/52134197?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue%26pageno%3D4,Data Analyst - Insurance,Salary negotiable,Contract,full-time,City of London
